calibrate_2_20200128120639786.pbf,songx5_1_20190930163454.pbf,1,8.29E-06,1
calibrate_2_20200128120714312.pbf,dail5_1_20191007134139.pbf,1,5.58E-06,1
calibrate_2_20200128125043428.pbf,khana172_1_20191106124301.pbf,2,2.11E-05,0
calibrate_2_20200128125519789.pbf,jinz27_1_20191005180123.pbf,4,1.49E-05,1
calibrate_2_20200202160513970.pbf,gelerius_1_20191004151918.pbf,20,1.10E-05,0
calibrate_2_20200202160545876.pbf,campbi1_1_20191017163913.pbf,3,4.45E-05,0
calibrate_2_20200202160728771.pbf,liu433_1_20190901125344.pbf,1,6.40E-06,1
calibrate_2_20200202160807653.pbf,gelerius_1_20191004151918.pbf,21,6.15E-06,0
calibrate_2_20200202161056693.pbf,liu433_1_20190901125344.pbf,2,5.60E-06,1
calibrate_2_20200202161126722.pbf,gelerius_1_20191004151918.pbf,16,1.61E-05,0
calibrate_2_20200202161207420.pbf,liu433_1_20190901125344.pbf,3,1.12E-05,1
calibrate_2_20200202161237261.pbf,gelerius_1_20191004151918.pbf,13,4.62E-06,0
calibrate_2_20200202161300905.pbf,gelerius_1_20191004151918.pbf,12,8.77E-06,0
calibrate_2_20200202161322079.pbf,liu433_1_20190901125457.pbf,4,1.11E-05,1
calibrate_2_20200202161458702.pbf,gelerius_1_20191004151918.pbf,9,8.46E-06,0
calibrate_2_20200202161535428.pbf,gelerius_1_20191004151918.pbf,6,5.55E-06,0
calibrate_2_20200202161615178.pbf,liu433_1_20190901125457.pbf,2,7.76E-06,1
calibrate_2_20200202162152080.pbf,liu433_1_20190911132218.pbf,2,0.000109271,1
calibrate_2_20200202162237465.pbf,liu433_1_20190911132218.pbf,1,0.000118553,1
calibrate_2_20200202162628656.pbf,liu433_1_20190911132218.pbf,3,0.000238517,1
calibrate_2_20200202163545970.pbf,weiy49_1_20190831144001.pbf,3,2.94E-05,1
calibrate_2_20200202163608184.pbf,weiy49_1_20190831144001.pbf,1,3.11E-05,1
calibrate_2_20200202164537641.pbf,mullico_1_20191128172055.pbf,8,0.000578272,1
calibrate_2_20200202164607717.pbf,mullico_1_20191128172055.pbf,8,0.000514428,1
calibrate_2_20200202164657327.pbf,mullico_1_20191128172055.pbf,8,0.000495206,1
calibrate_2_20200202164723226.pbf,mullico_1_20191128172055.pbf,8,0.000342648,1
